PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
353	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
354	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
355	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
356	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
357	6.525746	-59.789976	-7.244228	0.000000	0.000000	-122.036004
358	6.525746	53.981773	-7.244228	0.000000	0.000000	-122.036004
359	-0.219774	-2.558470	-6.551080	0.000000	0.000000	-345.012607
360	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
361	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
362	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
363	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
364	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
365	-0.219774	-141.035858	-6.551080	0.000000	0.000000	-345.012607
366	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
367	-0.219774	-141.035858	-6.551080	0.000000	0.000000	-345.012607
368	-0.219774	-141.035858	-6.551080	0.000000	0.000000	-345.012607
369	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
370	6.855704	-81.030836	-8.160518	0.000000	-4.605170	-326.591927
371	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
372	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
373	-0.219774	-141.035858	-6.551080	0.000000	0.000000	-345.012607
374	0.000000	-135.876132	-8.160518	0.000000	-4.605170	-326.591927
375	7.070973	-79.308681	-6.551080	0.000000	0.000000	-345.012607
376	-0.219774	-141.035858	-6.551080	0.000000	0.000000	-345.012607
377	8.162463	-70.576764	-8.039157	0.000000	-5.298317	-355.609241
378	0.016057	1.651644	-6.396930	0.000000	-4.605170	-45.900877
379	0.000000	0.742114	-6.396930	0.000000	-4.605170	-45.900877
380	-0.166601	1.146190	-6.551080	0.000000	-4.605170	-41.295707
381	0.000000	-2.236328	-6.396930	0.000000	-4.605170	-45.900877
382	-0.398112	-1.878865	-6.551080	0.000000	-4.605170	-41.295707
383	-0.398112	2.247471	-6.551080	0.000000	-4.605170	-41.295707
384	0.000000	-2.236328	-6.396930	0.000000	-4.605170	-45.900877
